case_id	suite	input_text	conversation_id	sequence_no	expected_intent	expected_entity	expected_route	expected_answer_contains	expected_answer_not_contains	expected_photo_count	expected_clarification_key	max_latency_ms	priority	source_id	enabled
REAL-ALIAS-012	raw_alias_variant	цена вентум		1	product_price	EU-N000024-24	answer	Розничная цена	Dify	0		2000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-013	raw_alias_variant	что такое винтун		1	product_overview	EU-N000024-24	answer	Вэнтун	Dify	1		3000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-014	raw_alias_variant	расскажи про вэнтум		1	product_overview	EU-N000024-24	answer	Вэнтун	Dify	1		3000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-015	raw_alias_variant	что такое санцин		1	product_overview	F003-02	answer	Саньцин	Dify	1		3000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-016	raw_alias_variant	цена санцын		1	product_price	F003-02	answer	Розничная цена	Dify	0		2000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-017	raw_alias_variant	что такое сяньцинь		1	product_overview	F003-02	answer	Саньцин	Dify	1		3000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-018	raw_alias_variant	что такое фоху		1	product_overview	F001-02	answer	Фохоу	Dify	1		3000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-019	raw_alias_variant	цена фохуа		1	product_price	F001-02	answer	Розничная цена	Dify	0		2000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-020	raw_alias_variant	расскажи про фухоу		1	product_overview	F001-02	answer	Фохоу	Dify	1		3000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-021	raw_alias_variant	что такое полонтино		1	product_overview	T015	answer	Палантин	Dify	1		3000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
REAL-ALIAS-022	raw_alias_variant	дай фото полонтино		1	product_photo	T015	answer		Dify	1		3000	P1	ALIAS_CANDIDATES_2026-07-26	TRUE
