phrase	normalized_phrase	discovery_group	candidate_rank	sku	canonical_name	confidence	status	evidence	source_snapshot_id	notes
гель	гель	cosmetics	1	D011-00	Гель очищающий Foherb	high	ready_for_core_review	aliases.tsv alias='очищающий гель foherb' -> D011-00	20260811T172219Z	Foherb hygiene gel
гель	гель	cosmetics	2	C002-00	Увлажняющий гель	medium	ready_for_core_review	products.tsv Увлажняющий гель	20260811T172219Z	Fundesee cosmetic gel
шампунь	шампунь	cosmetics	1	EU-N000032-25	Набор растительного красящего шампуня 	high	ready_for_core_review	products.tsv красящий шампунь	20260811T172219Z	single shampoo SKU
крем	крем	cosmetics	1			low	needs_owner_review	products.tsv: no dedicated крем SKU in snapshot	20260811T172219Z	Category placeholder until owner maps a cream SKU
капсулы	капсулы	supplements	1	F028-00	Капсулы линчжи ФОХОУ	medium	generic_category	products.tsv capsule products	20260811T172219Z	multiple capsule SKUs
капсулы	капсулы	supplements	2	F024-00	Капсулы Сюэчинфу	medium	generic_category	products.tsv capsule products	20260811T172219Z	multiple capsule SKUs
капсулы	капсулы	supplements	3	F007-00	Капсулы Железо, Кальций, Цинк, Селен	medium	generic_category	products.tsv capsule products	20260811T172219Z	multiple capsule SKUs
чай	чай	supplements	1	F031-00	Чай Лювэй	high	ready_for_core_review	aliases.tsv alias='чай лювэй' -> F031-00	20260811T172219Z
кофе	кофе	supplements	1	F034-00	Кофейный напиток с кордицепсом и коллагеном	high	ready_for_core_review	aliases.tsv alias='кофе с кордицепсом' -> F034-00	20260811T172219Z
бад	бад	supplements	1			low	generic_category	products.tsv multiple supplement SKUs; no single БАД alias	20260811T172219Z	Open category — show capsule/supplement family, not one random SKU
сауна	сауна	lifestyle	1	M014-00	"МИНИСАУНА ""БА-ГУА"""	medium	ready_for_core_review	aliases.tsv alias='сауна' -> M014-00; priority=88; match_type=alias; answer_scope=price+description	20260811T172219Z	Короткий живой запрос по минисауне
сон	сон	lifestyle	1	EU-N000014-24	Система для здорового сна 4 в 1	high	ready_for_core_review	products.tsv Система для здорового сна 4 в 1	20260811T172219Z	sleep kit
прибор для дома	прибор для дома	lifestyle	1	M015-00	Активатор клеток	medium	generic_category	products.tsv home devices	20260811T172219Z	device family
прибор для дома	прибор для дома	lifestyle	2	M014-00	"МИНИСАУНА ""БА-ГУА"""	medium	generic_category	products.tsv home devices	20260811T172219Z	device family
прибор для дома	прибор для дома	lifestyle	3	EU-N000024-24	Набор прибора Вэнтун 1.0	medium	generic_category	products.tsv home devices	20260811T172219Z	device family
подарок	подарок	lifestyle	1	C065-00	Подарочный набор косметики Fundesee	medium	generic_category	products.tsv подарочный набор Fundesee	20260811T172219Z	task_selection on first turn; SKU buttons only after direction chosen
подарок	подарок	lifestyle	2	EU-N000036-26	Подарочный набор косметики Fundesee*2	medium	generic_category	products.tsv подарочный набор x2	20260811T172219Z	task_selection on first turn; never auto-open gift SKU
красный	красный	color_guard	1			low	do_not_resolve	aliases.tsv weak/clarify_only for 'красный'; must not auto-open product	20260811T172219Z	Single colour token — require user clarification, not random product
зелёный	зеленый	color_guard	1			low	do_not_resolve	aliases.tsv weak/clarify_only for 'зелёный'; must not auto-open product	20260811T172219Z	Single colour token — require user clarification, not random product
синий	синий	color_guard	1			low	do_not_resolve	aliases.tsv weak/clarify_only for 'синий'; must not auto-open product	20260811T172219Z	Single colour token — require user clarification, not random product
