id,title,medical,was_public_before_26_09,reason
toothpaste-1,"Кашель прошёл почти сразу",true,false,"словарь"
toothpaste-2,"Горло перестало беспокоить в 73 года",true,false,"словарь"
toothpaste-3,"Приятный вкус, экономная",false,true,""
toothpaste-4,"Весь день без налёта",false,true,""
toothpaste-5,"Десна пришла в норму",true,false,"словарь"
toothpaste-6,"Все знакомые теперь заказывают сами",false,true,""
toothpaste-7,"Дёсны закрыли зубы за месяц",true,false,"словарь"
toothpaste-8,"Результат на 100%",true,false,"словарь"
lingzhi-1,"Силы и хорошее настроение",false,true,""
lingzhi-2,"Волосы начали расти гуще",true,false,"словарь"
lingzhi-3,"Пищеварение восстановилось само",true,false,"словарь"
lingzhi-4,"Показатели пришли в норму за 3 месяца",true,false,"словарь"
lingzhi-5,"В 80 лет стал есть самостоятельно",true,false,"словарь"
spirulina-1,"С 118 до 88 кг за 7 месяцев",true,false,"словарь"
spirulina-2,"Похудела только от Спирулины",true,false,"словарь"
spirulina-3,"-3 кг за первый месяц",true,false,"словарь"
spirulina-4,"Горло прошло без таблеток",true,false,"словарь"
spirulina-5,"Бодрость весь день",false,true,""
sauna-1,"Выводит 300 граммов влаги за 20 минут",false,true,""
sauna-2,"Бородавки прошли за 2 подхода",true,false,"словарь"
sauna-3,"Ушли буквально через день",true,false,"словарь"
sauna-4,"Ладони стали нормальные",true,false,"manual (спорный)"
sauna-5,"Сон крепче, кожа лучше",false,true,""
sauna-6,"Мой целитель",true,false,"словарь"
peptide-1,"Прилив сил через 30 минут",false,true,""
peptide-2,"Покраснения прошли за 3 сеанса",true,false,"словарь"
peptide-3,"Наш волшебный напиток",true,false,"словарь"
peptide-4,"Рука восстановилась полностью",true,false,"словарь"
peptide-5,"Герпес прошёл",true,false,"словарь"
peptide-6,"Дискомфорт в груди прошёл",true,false,"словарь"
palantin-1,"Утром симптомы прошли",true,false,"словарь"
palantin-2,"Спокойный сон и бодрое утро",false,true,""
palantin-3,"Помогает при тревожных состояниях",true,false,"словарь"
palantin-4,"Герпес появляется всё реже",true,false,"словарь"
palantin-5,"Плечо не болит, поясница не мёрзнет",true,false,"словарь"
palantin-6,"Приливы жара ушли",true,false,"словарь"
rose-1,"Здоровый кишечник — здоровый иммунитет",true,false,"словарь"
rose-2,"Отличное средство от запоров",true,false,"словарь"
rose-3,"Нравится всей семье",false,true,""
rose-4,"Сон и тревожность в норме",true,false,"словарь"
rose-5,"Убирает вздутие полностью",true,false,"словарь"
xueqingfu-1,"Головные боли и головокружения прошли",true,false,"словарь"
xueqingfu-2,"Головные боли ушли сразу",true,false,"словарь"
xueqingfu-3,"Уплотнение рассосалось за несколько дней",true,false,"словарь"
xueqingfu-4,"Самочувствие заметно лучше",false,true,""
xueqingfu-5,"Анализы пришли в норму",true,false,"словарь"
sanqing-1,"Высыпания прошли",true,false,"словарь"
sanqing-2,"Вела концерты без кашля",true,false,"словарь"
sanqing-3,"Кашель уменьшился за несколько дней",true,false,"словарь"
sanqing-4,"Моя скорая помощь",true,false,"словарь"
sanqing-5,"Герпес появляется всё реже (Саньцин + палантин)",true,false,"словарь"
liuwei-1,"Шум в ушах пропал за 3 дня",true,false,"словарь"
liuwei-2,"-20 кг за полгода",true,false,"словарь"
liuwei-3,"Приливы жара ушли (палантин + чай)",true,false,"словарь"
liuwei-4,"Про операцию забыли (БЭМ + чай)",true,false,"словарь"
liuwei-5,"Наш волшебный напиток (пептиды + чай)",true,false,"словарь"
socks-1,"Три дня — и не пахнут",false,true,""
candy-1,"Боль в горле исчезла к концу дня",true,false,"словарь"
mask-1,"Сосудистая сеточка ушла на 90%",true,false,"словарь"
