asset_id,layer,title,path,format,records_or_lines,source_kind,publication_state,review_state,provenance_state,user_visible,notes
RAW-TESTIMONIALS-TXT,raw,RAW testimonials export,RAG/RAW диалоги с врачами/WHIEDA 🗣️ Отзывы.txt,txt,7996,telegram_export,raw_only,review_required,raw_unverified,no,Not medical evidence; do not auto-publish
RAW-DIALOGUES-MESSAGES,raw,RAW doctor/partner dialogues,RAG/RAW диалоги с врачами,txt_bundle,29 files / ~271849 lines,telegram_export,raw_only,review_required,raw_unverified,no,29 message exports; distillate covers partial subset
DEEP-SRC-ACT-01__АКТИВАТОР-КЛ,deep_rag,SRC-ACT-01__Активатор клеток 1 часть,RAG/deep-corpus/SRC-ACT-01__Активатор клеток 1 часть.md,markdown,48,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-ACT-02__АКТИВАТОР-КЛ,deep_rag,SRC-ACT-02__Активатор клеток 2 часть,RAG/deep-corpus/SRC-ACT-02__Активатор клеток 2 часть.md,markdown,37,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-BAG-01__БА-ГУА_ЧАСТЬ,deep_rag,SRC-BAG-01__Ба-гуа_часть 1,RAG/deep-corpus/SRC-BAG-01__Ба-гуа_часть 1.md,markdown,26,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-BAG-02__БА-ГУА_ЧАСТЬ,deep_rag,SRC-BAG-02__Ба-гуа_часть 2,RAG/deep-corpus/SRC-BAG-02__Ба-гуа_часть 2.md,markdown,37,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-BEM-01__БИОЭНЕРГОМАС,deep_rag,SRC-BEM-01__Биоэнергомассажер (БЭМ) Magic FoHerb 3.0_1 часть,RAG/deep-corpus/SRC-BEM-01__Биоэнергомассажер (БЭМ) Magic FoHerb 3.0_1 часть.md,markdown,22,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-BEM-02__БИОЭНЕРГОМАС,deep_rag,SRC-BEM-02__Биоэнергомассажер (БЭМ) Magic FoHerb 3.0_2 часть,RAG/deep-corpus/SRC-BEM-02__Биоэнергомассажер (БЭМ) Magic FoHerb 3.0_2 часть.md,markdown,36,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-BUSINESS-01__ПАКЕТ-1,deep_rag,SRC-BUSINESS-01__Пакет 10. Маркетинг-план и стратегия лидерской ветки.,RAG/deep-corpus/SRC-BUSINESS-01__Пакет 10. Маркетинг-план и стратегия лидерской ветки..md,markdown,43,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-BUSINESS-02__ПОЛНЫЙ-,deep_rag,SRC-BUSINESS-02__Полный маркетинг-план,RAG/deep-corpus/SRC-BUSINESS-02__Полный маркетинг-план.md,markdown,99,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-OBJECTIONS-01__ВОЗРА,deep_rag,SRC-OBJECTIONS-01__Возражения и отработка,RAG/deep-corpus/SRC-OBJECTIONS-01__Возражения и отработка.md,markdown,345,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-SAFETY-01__ЕДИНЫЕ-ПО,deep_rag,SRC-SAFETY-01__Единые показания - противопоказания,RAG/deep-corpus/SRC-SAFETY-01__Единые показания - противопоказания.md,markdown,38,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-VOICE-01__ПРАВИЛА-РЕ,deep_rag,SRC-VOICE-01__Правила речи,RAG/deep-corpus/SRC-VOICE-01__Правила речи.md,markdown,55,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-WEN-01__ВЕНТУН-1-ЧАС,deep_rag,SRC-WEN-01__Вентун 1 часть,RAG/deep-corpus/SRC-WEN-01__Вентун 1 часть.md,markdown,27,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
DEEP-SRC-WEN-02__ВЕНТУН-2-ЧАС,deep_rag,SRC-WEN-02__Вентун 2 часть,RAG/deep-corpus/SRC-WEN-02__Вентун 2 часть.md,markdown,38,deep_corpus_doc,loaded_to_dify,review_required,owner_curated,no,In Dify Deep_corpus; CORE_ROUTE_DEEP=off — not in user hot path
OBS-RAG-ROOT,operator,Obsidian WHIEDA RAG workspace,D:/Obsidian/WHIEDA/05_WHIEDA_RAG,folder,80,obsidian_vault,local_only,review_required,owner_editor,no,"Product cards RAW, medical package, chat-analysis, photo catalog"
SQL-SEED-LOCAL-CORE,runtime_sql,Local Core advisor parity seed,postgres/scripts/staging_seed_whieda_advisor_local_v1.sql,sql,168,synthetic_fixture,live_for_telegram_shadow_for_site,ok,synthetic_test,local_core_only,NOT production data; powers Docker parity lab
QA-PARITY-V2,qa,Core local parity corpus v2,qa/parity/core_local_parity_cases_v2.jsonl,jsonl,85,parity_cases,staging,ok,engine_contract,no,85 HTTP cases P0+P1+P2; local Core only
QA-ACCEPTANCE-V1,qa,WHIEDA regression acceptance corpus,qa/cases/whieda_regression_cases_v1.jsonl,jsonl,265,acceptance_cases,staging,ok,legacy_contract,no,265 cases; broader than parity v2
DOC-LIVE-STATUS,operator,Live production routing status,WHIEDA_LIVE_STATUS.md,markdown,192,operator_doc,unknown,ok,verified_readonly_2026-08-07,no,Source of truth for live vs shadow vs legacy routes
CODE-ADVISOR-ENGINE,runtime_sql,Structured SQL advisor engine,backend/platform-api/app/advisor/sql/engine.py,python,660,application_code,staging,ok,implemented,telegram_core_live; site_advisor_shadow,Telegram Core cutover verified 2026-08-09; CORE_ROUTE_ADVISOR=shadow for site; local parity 85/85
