fact_id	topic	audience_layer	question_examples	fact_text	answer_scope	source_kind	source_ref	source_locator	provenance_status	confidence	owner_status	notes
CK-BUS-011	partner_business	partner_network	что такое повторная покупка | повторка это что | как работает повторка | повторные покупки	Повторная покупка - отдельный сценарий после регистрации. В маркетинг-плане она связана с товарооборотом и действующими условиями кабинета. По конкретному товару цену и доступные условия нужно смотреть в актуальном прайсе.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-03 / answer_text (tsv line 4)	verified	high	accepted	Не обещать доход или неизменные условия по уровням.
CK-BUS-012	partner_business	partner_network	степ гарантирован | что такое степ | когда будет степ | степ бонус	Степ возникает только при выполнении условий пары и считается по действующему маркетинг-плану. Его нельзя обещать заранее или называть гарантированным доходом.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-04 / answer_text (tsv line 5)	verified	high	accepted	Не обещать степ, сумму или срок начисления.
CK-BUS-013	partner_business	partner_network	что такое бинарный бонус | бинар это что | как работает бинар	По внутреннему материалу бинарный бонус относится к обороту меньшей ветки, который не был учтён степом. Точные условия и расчёт зависят от действующего маркетинг-плана.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-05 / answer_text (tsv line 6)	verified	high	accepted	Не обещать начисление, сумму или скорость результата.
CK-BUS-014	partner_business	partner_network	что выгоднее розница или регистрация | розница или регистрация | первичка или розница | регистрироваться или купить	Это разные задачи: розница подходит для знакомства с товаром, а регистрация связана с кабинетом, маркетинг-планом и повторными покупками. Сравнивать лучше по цели человека, текущей цене товара и действующим условиям.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-06 / answer_text (tsv line 7)	verified	high	accepted	Не обещать выгоду, доход или окупаемость регистрации.
CK-BUS-015	partner_business	partner_network	как работают повторные покупки|повторные покупки как работают|повторка как работает	Повторные покупки - отдельная часть маркетинг-плана после регистрации. Условия и глубина зависят от статуса и актуальных правил компании.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-07 / answer_text (tsv line 8)	verified	high	accepted	Не обещать неизменные условия или доход.
CK-BUS-016	partner_business	partner_network	степ гарантирован|гарантирован ли степ|когда будет степ	Степ возникает только при выполнении условий пары и считается по действующему маркетинг-плану. Заранее обещать его нельзя.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-08 / answer_text (tsv line 9)	verified	high	accepted	Не обещать степ заранее или называть его гарантированным доходом.
CK-BUS-017	partner_business	partner_network	что такое бинарный бонус|бинар это что|как работает бинар	Бинарный бонус в материалах связан с оборотом меньшей ветки, который не был учтен степом. Точный расчет зависит от действующего маркетинг-плана.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-09 / answer_text (tsv line 10)	verified	high	accepted	Не обещать начисление сумму или скорость результата.
CK-BUS-018	partner_business	partner_network	можно посчитать доход|сколько я заработаю|какой будет доход	Можно разобрать механику и сценарии по текущему плану. Доход заранее обещать нельзя: он зависит от объема структуры, активности и правил компании.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-10 / answer_text (tsv line 11)	verified	high	accepted	Не давать прогноз дохода или срок достижения статуса.
CK-BUS-019	partner_business	partner_network	когда выплаты|когда начисляют бонусы|срок выплат	Сроки и порядок начислений нужно сверять по действующему маркетинг-плану. Бинар, дерево и статусные бонусы имеют свои условия и расписание компании.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-11 / answer_text (tsv line 12)	verified	high	accepted	Не называть даты или суммы без актуального плана.
CK-BUS-020	partner_business	partner_network	что такое золотой треугольник|золотой треугольник	В материалах это схема построения трех веток. Ее рассматривают как логику баланса структуры и выполнения квалификаций, а не как гарантию результата.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-12 / answer_text (tsv line 13)	verified	high	accepted	Не обещать быстрый рост или квалификацию.
CK-BUS-021	partner_business	partner_network	как работают статусы|карьерные статусы|директор амбассадор	Статусы связаны с объемом веток, пакетами и актуальными условиями маркетинг-плана. Могу объяснить механику, а точный расчет нужно делать по текущим правилам.	business_faq	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_faq.tsv	row BUS-FAQ-13 / answer_text (tsv line 14)	verified	high	accepted	Не обещать статус срок или доход.
CK-BUS-022	partner_business	partner_network	это китай | почему дорого | маркетплейс	Не дискредитировать другие товары и не заявлять уникальность/сертификацию без подтверждённых материалов.	objection_handling	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/business_objections.tsv	row OBJ-03 / confirmed_answer_rule (tsv line 4)	verified	high	accepted	Не заявлять сертификацию/уникальность без материалов SQL
CK-TEC-023	technology	platform_internal	как устроена платформа | где хранятся цены	- Сайт строит интерфейс. Core хранит товары, цены, market/ref/tenant и состояние корзины. Бот запускает Mini App и продолжает консультацию.	platform_architecture	internal_doc	WHIEDA_PRODUCT_DIRECTION.md	line 113	verified	high	accepted	
CK-TEC-024	technology	platform_internal	как готовится продуктовый контент | откуда берутся ответы	Конвейер контента: RAW → distillate → claim register → статья → карточка → SQL-ответы → RAG-фрагменты.	content_pipeline	internal_doc	WHIEDA_PRODUCT_DIRECTION.md	line 125	verified	high	accepted	
CK-TEC-025	technology	platform_internal	что умеет бот | какие функции	Советник по capability_responses: товары, цены/PV, материалы, бизнес-FAQ, события — через SQL-ответы из structured master.	advisor_scope	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/capability_responses.tsv	row service-capabilities / answer_text (abbreviated summary)	verified	high	accepted	
CK-EVT-026	events	company_public	когда встреча | мероприятие минск | презентация whieda	Здоровье и процветание WHIEDA: Общая презентация для партнёров; Минск, Кальварийская, 4 (вход с ул. М. Танка); расписание FREQ=WEEKLY;BYDAY=TH; контакт Елена Дацкевич	events	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/events.tsv	row EVT-BY-MINSK-WORLD-CLUB-THU-1800 (tsv line 2)	verified	high	accepted	
CK-EVT-027	events	company_public	канал whieda | новости сообщества	WHIEDA World Club: Официальный Telegram-канал WHIEDA — https://t.me/Whieda_world_club	community	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/community_resources.tsv	row COMM-BY-WHIEDA-WORLD-CLUB (tsv line 2)	verified	high	accepted	
CK-CON-028	contacts	platform_internal	владелец платформы | к кому по сайту | ref nnm	Платформенный профиль: Виктор Хрипко, Telegram @SunRaySword, сайт https://wwc.best/?ref=nnm	platform_owner	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/partners_ref.tsv	row partner_id=nnm (tsv line 2)	verified	high	accepted	
CK-CON-029	contacts	partner_network	структура general | наставник general | invite	Структура general: Виктор Хрипко, Telegram @SunRaySword, бот https://t.me/whieda_advisor_bot, статус active	structure_routing	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/structure_owners.tsv	row structure_code=general (tsv line 2)	verified	high	accepted	
CK-CON-030	contacts	partner_network	структура elena | наставник elena | invite	Структура elena: Елена Дацкевич, Telegram @OnlineElena, бот https://t.me/whieda_advisor_bot?start=elena, статус prepared_not_routed	structure_routing	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/structure_owners.tsv	row structure_code=elena (tsv line 3)	verified	high	accepted	
CK-CON-031	contacts	partner_network	консультант Анна Ладная | ref ladnaya	Анна Ладная: Telegram @Anuta_Ladnaya, ref https://wwc.best/?ref=ladnaya, локация GLOBAL	partner_contact	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/partners_ref.tsv	row partner_id=ladnaya (tsv line 3)	verified	medium	accepted	Именной поддомен live. Блок «Ваш консультант: Анна Ладная». Каталог ведёт на wwc.best/catalog с ref ladnaya. Фокус-группа, тестовый доступ; оплата позже (микрот
CK-CON-032	contacts	partner_network	консультант Марьям | ref mariam	Марьям: Telegram https://t.me/+2290194951030, ref https://wwc.best/?ref=mariam, локация GLOBAL	partner_contact	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/partners_ref.tsv	row partner_id=mariam (tsv line 4)	verified	medium	accepted	Именной поддомен live. Блок консультанта Марьям. Фокус-группа, тестовый доступ.
CK-CON-033	contacts	partner_network	консультант СЦ Минска | ref harold	СЦ Минска: Telegram @Haroldsvetoch, ref https://wwc.best/?ref=harold, локация СЦ Минска	partner_contact	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/partners_ref.tsv	row partner_id=harold (tsv line 5)	verified	medium	accepted	Пока ref-ссылка. Поддомен в очереди. Фокус-группа, тестовый доступ.
CK-CON-034	contacts	partner_network	консультант Елена Дацкевич | ref onlineelena	Елена Дацкевич: Telegram @OnlineElena, ref https://wwc.best/?ref=onlineelena, локация GLOBAL	partner_contact	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/partners_ref.tsv	row partner_id=onlineelena (tsv line 6)	verified	medium	accepted	Ref-ссылка. Фокус-группа, тестовый доступ.
CK-CON-035	contacts	partner_network	консультант Ольга Самцова | ref olga-samtsova	Ольга Самцова: Telegram @olga_samtsova, ref https://wwc.best/?ref=olga-samtsova, локация GLOBAL	partner_contact	structured_snapshot	n8n/live-exports/structured-master/20260811T172219Z/partners_ref.tsv	row partner_id=olga-samtsova (tsv line 7)	verified	medium	accepted	Ref-ссылка. Фокус-группа, тестовый доступ.
CK-CON-036	contacts	partner_network	официальный email | телефон компании | юрлицо		corporate_contacts	owner_gap	qa/company_knowledge/COMPANY_INFORMATION_REQUEST_FOR_OWNER.md	section contacts	missing	low	needs_owner_input	В structured snapshot нет корпоративного email/телефона
CK-PRD-037	production	company_public	где производят | адрес завода | страна производства		production_site	owner_gap	qa/company_knowledge/COMPANY_INFORMATION_REQUEST_FOR_OWNER.md	section production	missing	low	needs_owner_input	Нет owner-approved production layer в structured snapshot
CK-PK9-038	company_overview	company_public	из пакета 9 компании	Международная Ассоциация WHIEDA (World Health Industry and Economic Development Alliance) — глобальная организация со штаб-квартирой в Китае.	company_pack9	obsidian_rag	D:\Obsidian\WHIEDA\05_WHIEDA_RAG\Пакет 9. О компании WHIEDA - FOHERB..md	line 9	company_stated	medium	needs_owner_input	Требует owner fact-check перед acceptance
CK-PK9-039	company_overview	company_public	из пакета 9 компании	Развитие компании поддерживается на государственном уровне и осуществляется в рамках международной инициативы КНР «Один пояс, один путь».	company_pack9	obsidian_rag	D:\Obsidian\WHIEDA\05_WHIEDA_RAG\Пакет 9. О компании WHIEDA - FOHERB..md	line 10	company_stated	medium	needs_owner_input	Требует owner fact-check перед acceptance
CK-PK9-040	production	company_public	из пакета 9 компании	25% акций производственных мощностей принадлежит государству (КНР).	company_pack9	obsidian_rag	D:\Obsidian\WHIEDA\05_WHIEDA_RAG\Пакет 9. О компании WHIEDA - FOHERB..md	line 11	company_stated	medium	needs_owner_input	Требует owner fact-check перед acceptance
CK-PK9-041	company_overview	company_public	из пакета 9 компании	Деятельность компании охватывает более 50 стран на 4 континентах (Европа, Азия, Африка, Северная и Южная Америка, включая рынок СНГ).	company_pack9	obsidian_rag	D:\Obsidian\WHIEDA\05_WHIEDA_RAG\Пакет 9. О компании WHIEDA - FOHERB..md	line 12	company_stated	medium	needs_owner_input	Требует owner fact-check перед acceptance
CK-PK9-042	production	company_public	из пакета 9 компании	В структуру холдинга входят собственные производственные базы, в том числе Fohow (Tianjin) Pharmaceutical Co., Ltd., с автоматизированными линиями.	company_pack9	obsidian_rag	D:\Obsidian\WHIEDA\05_WHIEDA_RAG\Пакет 9. О компании WHIEDA - FOHERB..md	line 16	company_stated	medium	needs_owner_input	Требует owner fact-check перед acceptance
CK-PK9-043	production	company_public	из пакета 9 компании	Продукция и производство сертифицированы по международным стандартам: GMP, ISO9000, HACCP; заявлены сертификаты FDA (США), Халяль и Кошер.	company_pack9	obsidian_rag	D:\Obsidian\WHIEDA\05_WHIEDA_RAG\Пакет 9. О компании WHIEDA - FOHERB..md	line 20	company_stated	medium	needs_owner_input	Требует owner fact-check перед acceptance
CK-PK9-044	leadership	company_public	из пакета 9 компании	Главный консультант по ТКМ — профессор Чжан Данин; в его честь Международный астрономический союз назвал астероид №8311.	company_pack9	obsidian_rag	D:\Obsidian\WHIEDA\05_WHIEDA_RAG\Пакет 9. О компании WHIEDA - FOHERB..md	line 17	company_stated	medium	needs_owner_input	Требует owner fact-check перед acceptance
