record_id	title	decision	canonical_candidate_id	catalog_mapping	unmapped_items	confidence	reason	source_id	source_locator	raw_quote_ref	safety_signals	owner_question	publication_status
BUNDLE-0019	Тугоухость / шум в ушах (общий набор)	ready_for_owner_review		F028-00=Капсулы линчжи ФОХОУ;F031-00=Чай Лювэй;F024-00=Капсулы Сюэчинфу;D014=Высокотехнологичные компьютерные очки;EU-N000024-24=Набор прибора Вэнтун 1.0		medium	SKU сопоставимы, публикация по-прежнему blocked_raw	RAWCHAT-17-LOR	строка 1420	RAWCHAT-17-LOR#строка 1420		Можно ли ставить в очередь owner-review без публикации?	blocked_raw
BUNDLE-0020	Первый этап (Регуляция) — базовый набор для здоровья глаз	ready_for_owner_review		F001-02=Эликсир Фохоу;F028-00=Капсулы линчжи ФОХОУ;F031-00=Чай Лювэй;D017-00=Водородный стержень (2шт);EU-N000030-25=Зубная паста с экстрактом полыни (new)*6		medium	SKU сопоставимы, публикация по-прежнему blocked_raw	RAWCHAT-13-ZRENIE	строки 2229-2237	RAWCHAT-13-ZRENIE#строки 2229-2237		Можно ли ставить в очередь owner-review без публикации?	blocked_raw
BUNDLE-0021	Очки + Активатор + Стельки для поддержки зрения	blocked_claim		D014=Высокотехнологичные компьютерные очки;M015-00=Активатор клеток;D013=Стельки с анионами		high	safety-сигнал из RAW: glaucoma	RAWCHAT-13-ZRENIE	строки 300-4542 (множественные)	RAWCHAT-13-ZRENIE#строки 300-4542 (множественные)	glaucoma	Подтвердить, что этот набор остаётся blocked_raw и не идёт в бот?	blocked_raw
BUNDLE-0022	Официальный протокол совместимости приборов (д-р Газнели)	ready_for_owner_review		"M015-00=Активатор клеток;M014-00=МИНИСАУНА ""БА-ГУА"";EU-N000021-24=Набор Массажёра Magic Foherb 3.0 (TUV);EU-N000024-24=Набор прибора Вэнтун 1.0"		medium	SKU сопоставимы, публикация по-прежнему blocked_raw	RAWCHAT-26-SAUNA	строки 2979-2998	RAWCHAT-26-SAUNA#строки 2979-2998		Можно ли ставить в очередь owner-review без публикации?	blocked_raw
BUNDLE-0023	Сауна + Вентун для лимфодренажа	blocked_claim		"M014-00=МИНИСАУНА ""БА-ГУА"";EU-N000024-24=Набор прибора Вэнтун 1.0"		high	safety-сигнал из RAW: oncology	RAWCHAT-26-SAUNA	строки 3689-3696	RAWCHAT-26-SAUNA#строки 3689-3696	oncology	Подтвердить, что этот набор остаётся blocked_raw и не идёт в бот?	blocked_raw
BUNDLE-0027	Общее укрепление зубов и дёсен	ready_for_owner_review		D013=Стельки с анионами;M015-00=Активатор клеток;EU-N000024-24=Набор прибора Вэнтун 1.0		medium	SKU сопоставимы, публикация по-прежнему blocked_raw	RAWCHAT-14-ZUBY	строки 1027-1037	RAWCHAT-14-ZUBY#строки 1027-1037		Можно ли ставить в очередь owner-review без публикации?	blocked_raw
BUNDLE-0028	Чип из прокладки на флюс/отёк/абсцесс	blocked_claim		M015-00=Активатор клеток	Чип из прокладки Whieda	high	safety-сигнал из RAW: abscess	RAWCHAT-14-ZUBY	строка 2073	RAWCHAT-14-ZUBY#строка 2073	abscess	Подтвердить, что этот набор остаётся blocked_raw и не идёт в бот?	blocked_raw
BUNDLE-0029	Базовая программа Регуляция-Очищение-Восстановление	duplicate	BUNDLE-0016	F001-02=Эликсир Фохоу;F028-00=Капсулы линчжи ФОХОУ;F024-00=Капсулы Сюэчинфу;F031-00=Чай Лювэй;F011-02=Роза Фохоу;F036-00=Спирулина;F003-02=Эликсир Саньцин;F002-02=Эликсир 3 Драгоценности	витамины	high	тот же смысл, что BUNDLE-0016	RAWCHAT-20-OZDOROVLENIE	строки 4259-4308	RAWCHAT-20-OZDOROVLENIE#строки 4259-4308		Оставить каноном BUNDLE-0016 и закрыть BUNDLE-0029?	blocked_raw
BUNDLE-0030	Схема 'Реанимация' (неофициальная, тяжёлые/онко случаи)	blocked_claim			Эликсиры (состав не детализирован)	high	safety-сигнал из RAW: oncology,resuscitation	RAWCHAT-20-OZDOROVLENIE	строки 665-677, 3891-3893	RAWCHAT-20-OZDOROVLENIE#строки 665-677, 3891-3893	oncology,resuscitation	Подтвердить, что этот набор остаётся blocked_raw и не идёт в бот?	blocked_raw
BUNDLE-0031	Титановые импланты и Активатор	ready_for_owner_review		M015-00=Активатор клеток		medium	SKU сопоставимы, публикация по-прежнему blocked_raw	RAWCHAT-20-OZDOROVLENIE	строки 1227-1234, 4583-4584	RAWCHAT-20-OZDOROVLENIE#строки 1227-1234, 4583-4584		Можно ли ставить в очередь owner-review без публикации?	blocked_raw
