record_id	название_ситуации	основной_запрос	основной_товар	доп_товары	логика_связки	порядок_применения	примеры	число_повторений	ограничения	ожидаемый_результат	нужен_врач	нужен_лидер	source_id	статус	source_locator	raw_quote	message_date	author_role	authority_level	extraction_pass	publication_status	medical_review_required	business_review_required	owner_approved	block_reason
BUNDLE-0014	Регуляция-Очистка-Восстановление (базовая 3-этапная система)	общий запрос о системном оздоровлении	Эликсир Фохоу + Линчжи (регуляция)	Саньцин, Чай Лювей, Детокс Идеал-1, Паста Роза, Сюэчинфу (очистка); Соевый пептид, Эликсир 3 Драгоценности, Кальций-Железо-Цинк-Селен, Спирулина, Q10, Витамин D3 (восстановление)	три последовательных этапа традиционной китайской медицины: сначала баланс, потом вывод токсинов, потом насыщение	регуляция (1 мес) -> очистка (1 мес) -> восстановление (1 мес), встречаются варианты длительности	воспроизведено минимум 5 раз разными пользователями с небольшими вариациями (строки 291-312, 408-434, 511-540, 1481-1503, 1634-1657, 1671-1687)	10+ повторений в источнике	нет единой официальной версии — минимум 4 разных варианта состава этапов от разных авторов	системное улучшение самочувствия по словам источника	нет	да	RAWCHAT-28-SPRAVOCHNIK	кандидат, официальная финальная версия дана 12.12.2025 (см. bundle 3)	строки 291-312 и др.	см. текст выше	2025	partner	partner	PASS_006	blocked_raw	да	нет	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0015	Схема РЕАНИМАЦИЯ (тяжёлые/онкологические/хронические/аутоиммунные случаи)	запрос о помощи при тяжёлом диагнозе	Эликсир Саньцин + Эликсир Фохоу	Линчжи, Кальций/Спирулина, Чай Лювей 2л/день, стельки/прокладки/пояса, БЭМ	неофициальная интенсивная многомесячная схема, распространяется повторно несколькими партнёрами	3 месяца, эскалация дозы Сюэчинфу и Эликсира 3 Драгоценности во 2-3 месяце	"опубликована минимум 2 раза (строки 1049-1087, 1518-1563), официально осуждена медсоветником компании как ""АНТИ РЕКЛАМА"" без эффекта кроме плацебо (строка 2369)"	2+	официально запрещена/осуждена медсоветником компании — не должна попадать в автоматические ответы	"заявлено ""результаты"" авторами, официально опровергнуто"	да	да	RAWCHAT-28-SPRAVOCHNIK	ОТКЛОНЕНО официальным медсоветником — хранить обе стороны, см. будущую таблицу 17_CONTRADICTIONS	строки 1049-1087, 1518-1563, 2369	см. текст выше	2025-2026	partner + company_expert (опровержение)	partner	PASS_006	blocked_raw	да	нет	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0016	Официальная базовая схема Регуляция-Очистка-Восстановление (версия от 12.12.2025, с точными дозами по дням)	официальный релиз обновлённой схемы	Эликсир Фохоу (эскалация 5мл->1 флакон за 9 дней) + Линчжи	Сюэчинфу (эскалация по неделям), Чай Лювой, Паста Роза, Спирулина, Саньцин, далее Кальций/Цинк/Селен/Железо + Эликсир 3 Драгоценности	официальная пошаговая схема с точными интервалами приёма пищи и точными дозами по дням/неделям, опубликована администратором темы	1 месяц регуляция -> 1 месяц очистка -> 1 месяц восстановление, с точными эскалациями дозы по дням	1 официальная публикация (строки 2296-2345)	1	не указаны явно противопоказания в этой версии	"не заявлен явно, схема представлена как ""базовая версия"""	нет	нет	RAWCHAT-28-SPRAVOCHNIK	официальный документ администратора, наиболее авторитетная версия из всех найденных в источнике — хороший кандидат после мед.апрува	строки 2296-2345	см. текст выше	12 December 2025	official_company	official_company	PASS_006	blocked_raw	да	нет	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0017	Гайморит / синусит (общий комплекс)	чем лечить гайморит	Активатор клеток	БЭМ-лазер, Линчжи, Эликсир Фохоу/красный, Чай Лювей, Пептиды, Спирулина, чипы из прокладок	устройства + иммуномодуляторы + вывод токсинов, часто вместе с промыванием/антибиотиками от врача	активатор/лазер по меридианам+нос, элексир закапывать в нос, линчжи и чай постоянно	строки 107, 330, 349, 3647, 4185, 4356-4375	6+	при гнойном процессе (гной в пазухах) отдельно указывается не медлить с врачом	не подтверждён, разброс мнений	да	да	RAWCHAT-17-LOR	кандидат, не подтверждён	строки 4356-4375	Гайморит лучше пролечить и если уже гной в пазухах, то медлить нельзя, врач предложит промыть пазухи...	27 April 2026	partner	partner	PASS_006	blocked_raw	да	да	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0018	Аденоиды у ребёнка (альтернатива операции)	как избежать операции по аденоидам	БЭМ-лазер	Активатор клеток, Линчжи, Спирулина	лазер в нос курсом + линчжи для иммунитета, у части родителей — попытка отложить операцию	лазер по 5-15 мин в каждую ноздрю курсом 10 дней, линчжи 1/2 капсулы	строки 1924-1929, 2078-2103, 2110, 3750, 4351	8+	операция всё равно рекомендуется, если аденоиды большой степени или исключена онкология	смешанный — есть и улучшения, и отсутствие результата в источнике	да	да	RAWCHAT-17-LOR	кандидат, не подтверждён	строка 2103	Нужно, если онкологию исключили	5 October 2025	partner	partner	PASS_006	blocked_raw	да	да	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0019	Тугоухость / шум в ушах (общий набор)	что попить при тугоухости и шуме в ушах	Линчжи	Чай Лювей, Сюченфу, Очки, Вентун	постепенное наращивание дозы Линчжи + сопутствующие для кровообращения/иммунитета	1 капсула, постепенно до 3-4 в день, длительно, 3 мес/1 мес перерыв	строки 960, 1013, 1417-1420, 2413-2414	6+	нет единого протокола дозировки, разные советчики называют разные схемы	неопределённый, отзывов о полном восстановлении единицы и с оговорками по датам	нет	да	RAWCHAT-17-LOR	кандидат, не подтверждён	строка 1420	начинать с одной капсулы и постепенно довести до 3-4 капсул в день... 3 месяца пьете, месяц перерыв. И повторяете. И контроль у сурдолога	3 September 2025	customer	customer	PASS_006	blocked_raw	да	да	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0020	Первый этап (Регуляция) — базовый набор для здоровья глаз	общий запрос по здоровью глаз/организма	Элексир Фохоу	Капсулы Линчжи, Чай Лювэй, водородная вода (через водородный стержень), Зубная паста с полынью	предложено партнёром (Алексей Рябов) как обязательный минимум первого этапа независимо от конкретного диагноза	начинать сразу с 4-5 продуктов, далее по показаниям добавлять Саньцин/Спирулину/пептиды	строки 2229-2237	3+ (строки 2229-2237, 3818-3819, 3700-3702)	нет клинического обоснования именно такого набора, представлено как общее мнение партнёра	общее оздоровление, не специфично для зрения	нет	нет	RAWCHAT-13-ZRENIE	кандидат, не подтверждён	строки 2229-2237			unknown	unknown	PASS_006	blocked_raw	да	да	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0021	Очки + Активатор + Стельки для поддержки зрения	вопрос про конкретный диагноз глаз (глаукома/катаракта/атрофия зрительного нерва)	Графеновые очки	Активатор клеток, Коррекционные стельки	часто рекомендуется как тройка для 'комплексного' воздействия на зрение	ношение очков постоянно + обдувание вокруг глаз + ношение стелек	строки 1452, 4542	8+ (строки 300, 1452, 2557, 4542 и др.)	нет клинического обоснования связи стелек с состоянием глаз	общий эффект не детализирован, кроме общих фраз о 'комплексном воздействии'	нет	нет	RAWCHAT-13-ZRENIE	кандидат, не подтверждён	строки 300-4542 (множественные)			unknown	unknown	PASS_006	blocked_raw	да	да	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0022	Официальный протокол совместимости приборов (д-р Газнели)	какие приборы можно сочетать в один день	Активатор клеток	Сауна БА-ГУА, БЭМ, Вентун	Официальная рекомендация врача компании по недопустимым и допустимым сочетаниям процедур в один день	Перед всеми приборами — 2 стакана воды. Активатор: 15 мин работа/15 мин отдых с водой. После процедур — эликсир Фохоу	Можно: Сауна+БЭМ, Сауна+Активатор, Активатор+БЭМ. Нельзя: Вентун в один день с другими приборами	1 (официальный документ, репост)	Вентун требует отдельного дня без других приборов	не указан явно, обобщённая рекомендация по самочувствию	нет	нет	RAWCHAT-26-SAUNA	кандидат, требует ревью	строки 2979-2998	С Вэнтун совмещать ничего не нужно в один день. Рекомендации доктора Газнели... МОЖНО: Сауна — БЭМ, Сауна — Активатор, Активатор — БЭМ		company_expert	medical_professional_claimed	PASS_006	blocked_raw	да	нет	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0023	Сауна + Вентун для лимфодренажа	сауна не потеет / нужно 'пробить' лимфосистему	Сауна БА-ГУА	Вентун	Партнёр предполагает, что отсутствие потоотделения в сауне связано с 'заблокированной' лимфосистемой, которую 'пробивает' Вентун	чередование сауны и Вентуна до появления потоотделения	упомянут 1 случай 'отличного результата по онкологии' при таком чередовании	1	нет клинического обоснования термина 'заблокированная лимфосистема'	заявлено начало потоотделения после чередования, включая анекдот об онкологии	да	нет	RAWCHAT-26-SAUNA	требует мед.проверки — псевдонаучная терминология ('пробить лимфосистему') применительно к онкологии	строки 3689-3696	Надо пробить лимфосистему посидев на Вентуне. У вас она заблокирована... Знаю отличный результат по онкологии: в сауне не потела, стали чередовать с вентуном и начала потеть.		customer	partner	PASS_006	blocked_raw	да	нет	нет	реконструировано из RAW в PASS_006, ожидает ревью
BUNDLE-0027	Общее укрепление зубов и дёсен	укрепление шатающихся зубов / общее оздоровление полости рта	Коррекционные стельки	Активатор клеток, Вентун	через 'восстановление меридианов' и общего состояния организма (неофициальная логика)	стельки постоянно, активатор точечно, вентун курсом 10-17 сеансов	TST-ZUB-0007	1	эзотерическое обоснование не медицинское, требует нейтральной переформулировки	субъективное укрепление зубов по словам автора	да	нет	RAWCHAT-14-ZUBY	кандидат, требует бизнес-проверки формулировок	строки 1027-1037	Ношу стельки. Вентун купила 17 сеансов уже прошла . у меня нерв и меридианы нарушены , идет восстановление.		customer	customer	PASS_007	blocked_raw	да	нет	нет	реконструировано из RAW в PASS_007, ожидает ревью
BUNDLE-0028	Чип из прокладки на флюс/отёк/абсцесс	флюс после лечения зуба / отёк щеки после импланта	Чип из прокладки Whieda	Активатор клеток (дополнительно)	местное прикладывание смоченного чипа к очагу воспаления	смочить чип, приложить к флюсу/отёку	TST-ZUB-0001 (частично), строка 1879, строка 2073	2	нет клинических данных о безопасности/эффективности при флюсе (гнойном процессе)	по словам авторов — быстрое уменьшение отёка	да	нет	RAWCHAT-14-ZUBY	кандидат, требует медицинской проверки — флюс это гнойный процесс, самолечение рискованно	строка 2073	Чип из прокладки, смочить и приложить к флюсу, Активатором можно .	11 April 2026	partner	partner	PASS_007	blocked_raw	да	нет	нет	реконструировано из RAW в PASS_007, ожидает ревью
BUNDLE-0029	Базовая программа Регуляция-Очищение-Восстановление	общий запрос на оздоровление/детокс	Эликсир Фохоу + Линчжи (мес.1)	Сюэчинфу+Чай Лювэй+Паста Роза+Спирулина+Саньцин (мес.2), витамины+Три драгоценности (мес.3)	3-месячный поэтапный протокол с точными дозами по дням	спирулина -> паста роза -> саньцин; каждый этап минимум месяц	официальный структурированный протокол найден целиком	20+	-	общее улучшение состояния, детокс	нет	нет	RAWCHAT-20-OZDOROVLENIE	готов к бизнес/мед ревью — редкий полный официальный протокол с дозами	строки 4259-4308	Регуляция: 1-й месяц. Эликсир «ФОХОУс»... Первые 3 дня: по 5 мл 2 раза в день...	18 March 2026	partner	company_expert	PASS_007	blocked_raw	да	да	нет	реконструировано из RAW в PASS_007, ожидает ревью
BUNDLE-0030	Схема 'Реанимация' (неофициальная, тяжёлые/онко случаи)	онкология, тяжёлые хронические состояния	Эликсиры (состав не детализирован)	-	распространяется через поиск по чатам, не официальный документ	-	официально осуждена медсоветником как 'анти-реклама продукции' без эффекта кроме плацебо, найдено повторно (2-й источник)	2	-	-	нет	нет	RAWCHAT-20-OZDOROVLENIE	критично — официальное опровержение найдено дважды в разных источниках	строки 665-677, 3891-3893	ЗАБУДЬТЕ про систему 'РЕАНИМАЦИИ'... занимаются АНТИ РЕКЛАМОЙ ПРОДУКЦИИ, никогда не будет у них результатов, кроме Плацебо	17 May 2025 / 4 January 2026	medical_professional_claimed	medical_professional_claimed	PASS_007	blocked_raw	да	да	нет	реконструировано из RAW в PASS_007, ожидает ревью
BUNDLE-0031	Титановые импланты и Активатор	совместимость Активатора с металлическими имплантами	Активатор клеток	-	обходить зону импланта, в остальном разрешено — консистентно дважды в источнике	-	2 независимых случая с одинаковым ответом	2	обходить зону импланта	можно применять вне зоны импланта	нет	нет	RAWCHAT-20-OZDOROVLENIE	позитивный пример консистентности ответов	строки 1227-1234, 4583-4584	Импланты сделаны из титана. Можно!	19 June 2025 / 8 May 2026	partner	partner	PASS_007	blocked_raw	да	нет	нет	реконструировано из RAW в PASS_007, ожидает ревью
